sensor_number;inverter_number;;Xsrn;Ysrn;Zsrn
591;15;;20,02;36,2306;1,2556
592;15;;22,02;36,2306;1,2556
593;15;;24,02;36,2306;1,2556
594;15;;26,02;36,2306;1,2556
595;15;;28,02;36,2306;1,2556
596;15;;30,02;36,2306;1,2556
597;15;;32,02;36,2306;1,2556
598;15;;34,02;36,2306;1,2556
599;15;;36,02;36,2306;1,2556
600;15;;38,02;36,2306;1,2556
601;16;;0,02;37,9967;0,6129
602;16;;2,02;37,9967;0,6129
603;16;;4,02;37,9967;0,6129
604;16;;6,02;37,9967;0,6129
605;16;;8,02;37,9967;0,6129
606;16;;10,02;37,9967;0,6129
607;16;;12,02;37,9967;0,6129
608;16;;14,02;37,9967;0,6129
609;16;;16,02;37,9967;0,6129
610;16;;18,02;37,9967;0,6129
611;16;;20,02;37,9967;0,6129
612;16;;22,02;37,9967;0,6129
613;16;;24,02;37,9967;0,6129
614;16;;26,02;37,9967;0,6129
615;16;;28,02;37,9967;0,6129
616;16;;30,02;37,9967;0,6129
617;16;;32,02;37,9967;0,6129
618;16;;34,02;37,9967;0,6129
619;16;;36,02;37,9967;0,6129
620;16;;38,02;37,9967;0,6129
621;16;;0,02;38,7627;1,2556
622;16;;2,02;38,7627;1,2556
623;16;;4,02;38,7627;1,2556
624;16;;6,02;38,7627;1,2556
625;16;;8,02;38,7627;1,2556
626;16;;10,02;38,7627;1,2556
627;16;;12,02;38,7627;1,2556
628;16;;14,02;38,7627;1,2556
629;16;;16,02;38,7627;1,2556
630;16;;18,02;38,7627;1,2556
631;16;;20,02;38,7627;1,2556
632;16;;22,02;38,7627;1,2556
633;16;;24,02;38,7627;1,2556
634;16;;26,02;38,7627;1,2556
635;16;;28,02;38,7627;1,2556
636;16;;30,02;38,7627;1,2556
637;16;;32,02;38,7627;1,2556
638;16;;34,02;38,7627;1,2556
639;16;;36,02;38,7627;1,2556
640;16;;38,02;38,7627;1,2556
641;17;;0,02;40,5287;0,6129
642;17;;2,02;40,5287;0,6129
643;17;;4,02;40,5287;0,6129
644;17;;6,02;40,5287;0,6129
645;17;;8,02;40,5287;0,6129
646;17;;10,02;40,5287;0,6129
647;17;;12,02;40,5287;0,6129
648;17;;14,02;40,5287;0,6129
649;17;;16,02;40,5287;0,6129
650;17;;18,02;40,5287;0,6129
651;17;;20,02;40,5287;0,6129
652;17;;22,02;40,5287;0,6129
653;17;;24,02;40,5287;0,6129
654;17;;26,02;40,5287;0,6129
655;17;;28,02;40,5287;0,6129
656;17;;30,02;40,5287;0,6129
657;17;;32,02;40,5287;0,6129
658;17;;34,02;40,5287;0,6129
659;17;;36,02;40,5287;0,6129
660;17;;38,02;40,5287;0,6129
661;17;;0,02;41,2948;1,2556
662;17;;2,02;41,2948;1,2556
663;17;;4,02;41,2948;1,2556
664;17;;6,02;41,2948;1,2556
665;17;;8,02;41,2948;1,2556
666;17;;10,02;41,2948;1,2556
667;17;;12,02;41,2948;1,2556
668;17;;14,02;41,2948;1,2556
669;17;;16,02;41,2948;1,2556
670;17;;18,02;41,2948;1,2556
671;17;;20,02;41,2948;1,2556
672;17;;22,02;41,2948;1,2556
673;17;;24,02;41,2948;1,2556
674;17;;26,02;41,2948;1,2556
675;17;;28,02;41,2948;1,2556
676;17;;30,02;41,2948;1,2556
677;17;;32,02;41,2948;1,2556
678;17;;34,02;41,2948;1,2556
679;17;;36,02;41,2948;1,2556
680;17;;38,02;41,2948;1,2556
681;18;;0,02;43,0608;0,6129
682;18;;2,02;43,0608;0,6129
683;18;;4,02;43,0608;0,6129
684;18;;6,02;43,0608;0,6129
685;18;;8,02;43,0608;0,6129
686;18;;10,02;43,0608;0,6129
687;18;;12,02;43,0608;0,6129
688;18;;14,02;43,0608;0,6129
689;18;;16,02;43,0608;0,6129
690;18;;18,02;43,0608;0,6129
691;18;;20,02;43,0608;0,6129
692;18;;22,02;43,0608;0,6129
693;18;;24,02;43,0608;0,6129
694;18;;26,02;43,0608;0,6129
695;18;;28,02;43,0608;0,6129
696;18;;30,02;43,0608;0,6129
697;18;;32,02;43,0608;0,6129
698;18;;34,02;43,0608;0,6129
699;18;;36,02;43,0608;0,6129
700;18;;38,02;43,0608;0,6129
701;18;;0,02;43,8269;1,2556
702;18;;2,02;43,8269;1,2556
703;18;;4,02;43,8269;1,2556
704;18;;6,02;43,8269;1,2556
705;18;;8,02;43,8269;1,2556
706;18;;10,02;43,8269;1,2556
707;18;;12,02;43,8269;1,2556
708;18;;14,02;43,8269;1,2556
709;18;;16,02;43,8269;1,2556
710;18;;18,02;43,8269;1,2556
711;18;;20,02;43,8269;1,2556
712;18;;22,02;43,8269;1,2556
713;18;;24,02;43,8269;1,2556
714;18;;26,02;43,8269;1,2556
715;18;;28,02;43,8269;1,2556
716;18;;30,02;43,8269;1,2556
717;18;;32,02;43,8269;1,2556
718;18;;34,02;43,8269;1,2556
719;18;;36,02;43,8269;1,2556
720;18;;38,02;43,8269;1,2556
721;19;;0,02;45,5929;0,6129
722;19;;2,02;45,5929;0,6129
723;19;;4,02;45,5929;0,6129
724;19;;6,02;45,5929;0,6129
725;19;;8,02;45,5929;0,6129
726;19;;10,02;45,5929;0,6129
727;19;;12,02;45,5929;0,6129
728;19;;14,02;45,5929;0,6129
729;19;;16,02;45,5929;0,6129
730;19;;18,02;45,5929;0,6129
